TICKER,Classe,Categoria
A1RE34 | ARE,REITs,Office
A1VB34 | AVB,REITs,Residential
AAPL34 | AAPL,Stocks,Technology
ABBV34 | ABBV,Stocks,Healthcare
ABCB4,Ações,Bancos
ABEV3,Ações,Bebidas
ADBE34 | ADBE,Stocks,Technology
AERI3,Ações,Máquinas e Equipamentos
AFHI11,Fundos Imobiliários,Recebíveis
AGRO3,Ações,Agronegócio
ALOS3,Ações,Shoppings
ALUG11 | VNQ,ETFs,EUA Imobiliário
ALUP11,Ações,Energia
ALZR11,Fundos Imobiliários,Híbrido
AMBP3,Ações,Saneamento
AMH,REITs,Residential
AMOB3,Ações,Automóveis e Motocicletas
AMZO34 | AMZN,Stocks,Consumer Services
ASML,Stocks,Semiconductor
AUAU3,Ações,Pet Shop
AURA33,Ações,Materiais Básicos
AURE3,Ações,Energia
AVGO34 | AVGO,Stocks,Technology
AXIA3,Ações,Energia
AZZA3,Ações,Varejo
B3SA3,Ações,Bolsa de Valores
BBAS3,Ações,Bancos
BBDC4,Ações,Bancos
BBFO11,Fundos Imobiliários,Fundo de fundos
BBIG11,Fundos Imobiliários,Shopping Centers
BBSE3,Ações,Seguros
BEEF3,Ações,Alimentos
BHIA3,Ações,Varejo
BLAU3,Ações,Medicamentos
BLMG11,Fundos Imobiliários,Galpões Logísticos
BOAC34 | BAC,Stocks,Financial
BOVA11,ETFs,Índice Ibovespa
BOVA11 | BBOV11,ETFs,Índice Ibovespa
BPAC11,Ações,Bancos
BRAP4,Ações,Mineração
BRAV3,Ações,"Petróleo, Gás e Biocombustíveis"
BRBI11,Ações,Bancos
BRCO11,Fundos Imobiliários,Galpões Logísticos
BRCR11,Fundos Imobiliários,Lajes corporativas
BRKM5,Ações,Químicos
BRSR6,Ações,Bancos
BTAL11,Fundos Imobiliários,Agronegócio
BTLG11,Fundos Imobiliários,Galpões logísticos
C1CL34 | CCI,REITs,Infrastructure
C1MG34 | CMG,Stocks,Consumer Cyclical
CAML3,Ações,Alimentos
CASH3,Ações,Programas e Serviços
CHVX34 | CVX,Stocks,Energy
CMIG4,Ações,Energia
CMIN3,Ações,Mineração
COCA34 | KO,Stocks,Consumer Defensive
COWC34 | COST,Stocks,Consumer Services
CPFE3,Ações,Energia
CPLE3,Ações,Energia
CPSH11,Fundos Imobiliários,Shopping Centers
CPTR11,Fundos Imobiliários,Fiagro
CPTS11,Fundos Imobiliários,Hedge Fund
CSAN3,Ações,"Petróleo, Gás e Biocombustíveis"
CSMG3,Ações,Saneamento
CSUD3,Ações,SOFTWARE
CVCB3,Ações,Consumo Cíclico
CXSE3,Ações,Seguros
CYRE3,Ações,Construção
D1LR34 | DLR,REITs,Data Center
DEVA11,Fundos Imobiliários,Recebíveis
DEXP3,Ações,Químico
DGCO34 | DG,Stocks,Consumer Services
DISB34 | DIS,Stocks,Entertainment
DIVO11,ETFs,ETF de empresas pagadoras de dividendos
DMVF3,Ações,Medicamentos e Outros Produtos
E1QR34 | EQR,REITs,Residential
E1XR34 | EXR,REITs,Self-Storage
E2LS34 | ELS,REITs,Residential
EGIE3,Ações,Energia
EQIX34 | EQIX,REITs,Data Center
EQTL3,Ações,Energia
ERUS,ETFs,Mercado Russo
EXXO34 | XOM,Stocks,Energy
EZTC3,Ações,Construção
FATN11,Fundos Imobiliários,Lajes corporativas
FESA4,Ações,Siderurgia
FIQE3,Ações,Comunicações
FLMA11,Fundos Imobiliários,Híbrido
FLRY3,Ações,Serviços Médicos
GAME11,Fundos Imobiliários,Recebíveis 
GARE11,Fundos Imobiliários,Híbrido
GGBR4,Ações,Siderurgia
GGRC11,Fundos Imobiliários,Híbrido
GMAT3,Ações,Varejo Alimentício
GOAU4,Ações,Siderurgia
GOGL34 | GOOGL,Stocks,Communication Services
GOLD11 | IAU,ETFs,Metais Preciosos
GPUS11 | VUAA,ETFs,S&P500 EUA
GRND3,Ações,Calçados
HABT11,Fundos Imobiliários,Recebíveis
HAPV3,Ações,Seguros
HASH11,ETFs,Criptomoeda
HCTR11,Fundos Imobiliários,Recebíveis 
HFOF11,Fundos Imobiliários,Fundo de Fundos
HGBS11,Fundos Imobiliários,Shopping Centers
HGCR11,Fundos Imobiliários,Recebíveis
HGLG11,Fundos Imobiliários,Galpões Logísticos
HGRE11,Fundos Imobiliários,Lajes corporativas 
HGRU11,Fundos Imobiliários,Híbrido
HODL11 | HODL,ETFs,Criptomoedas
HOFC11,Fundos Imobiliários,Lajes corporativas 
HOME34 | HD,Stocks,Consumer Services
HSLG11,Fundos Imobiliários,Galpões logísticos
HSML11,Fundos Imobiliários,Shopping Centers
HYPE3,Ações,Medicamentos
IBIT,ETFs,Criptomoeda
IJJ,ETFs,EUA Mid-Cap Valor
IJS,ETFs,EUA Small-Cap Valor
INBR32,Ações,Bancos
INTB3,Ações,Produtos Diversos
IRDM11,Fundos Imobiliários,Recebíveis
IRIM11,Fundos Imobiliários,Hedge Fund
ISAE4,Ações,Energia
ITLC34 | INTC,Stocks,Technology
ITRI11,Fundos Imobiliários,Hedge Fund
ITSA4,Ações,Financeiro
ITUB4,Ações,Bancos
IVVB11 | VOO,ETFs,S&P500 EUA
JBSS3,Ações,Alimentos
JBSS32,Ações,Alimentos
JHSF3,Ações,Construção
JNJB34 | JNJ,Stocks,Healthcare
JPMC34 | JPM,Stocks,Financial
JSLG3,Ações,Bens Industriais
JSRE11,Fundos Imobiliários,Híbrido
JURO11,Fundos Imobiliários,FI-Infra
KEPL3,Ações,Máquinas e Equipamentos
KISU11,Fundos Imobiliários,Fundo de fundos
KLBN4,Ações,Papel e Celulose
KNCA11,Fundos Imobiliários,Fiagro
KNCR11,Fundos Imobiliários,Recebíveis
KNRI11,Fundos Imobiliários,Híbrido
KNSC11,Fundos Imobiliários,Recebíveis
KNUQ11,Fundos Imobiliários,Recebíveis 
KORE11,Fundos Imobiliários,Lajes Corporativas
LEVE3,Ações,Automotivo
LILY34 | LLY,Stocks,Health Care
LOGG3,Ações,Exploração de Imóveis
LREN3,Ações,Varejo
LVBI11,Fundos Imobiliários,Galpões Logísticos
M1NS34 | MNST,Stocks,Consumer Defensive
